zip_member,class_name,label,session,fold
shipsear_5s_16k/0/0_0/0_0_1.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_10.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_11.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_12.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_13.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_14.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_15.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_16.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_17.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_18.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_19.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_2.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_20.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_21.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_22.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_23.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_24.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_25.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_26.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_27.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_28.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_29.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_3.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_30.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_31.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_32.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_33.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_34.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_35.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_36.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_37.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_38.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_39.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_4.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_40.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_41.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_42.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_43.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_44.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_45.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_46.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_47.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_48.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_49.wav,A,0,0_0,0
shipsear_5s_16k/0/0_0/0_0_5.wav,A,0,0_0,0
