file,row_index,slice_file_name,fsID,classID,soundevent,fold
/scratch/pdoshi/audio_comp/urbansound8k_audio/00000_dog_bark.wav,0,100032-3-0-0.wav,100032,3,dog_bark,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00001_children_playing.wav,1,100263-2-0-117.wav,100263,2,children_playing,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00002_children_playing.wav,2,100263-2-0-121.wav,100263,2,children_playing,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00003_children_playing.wav,3,100263-2-0-126.wav,100263,2,children_playing,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00004_children_playing.wav,4,100263-2-0-137.wav,100263,2,children_playing,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00005_children_playing.wav,5,100263-2-0-143.wav,100263,2,children_playing,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00006_children_playing.wav,6,100263-2-0-161.wav,100263,2,children_playing,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00007_children_playing.wav,7,100263-2-0-3.wav,100263,2,children_playing,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00008_children_playing.wav,8,100263-2-0-36.wav,100263,2,children_playing,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00009_car_horn.wav,9,100648-1-0-0.wav,100648,1,car_horn,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00010_car_horn.wav,10,100648-1-1-0.wav,100648,1,car_horn,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00011_car_horn.wav,11,100648-1-2-0.wav,100648,1,car_horn,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00012_car_horn.wav,12,100648-1-3-0.wav,100648,1,car_horn,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00013_car_horn.wav,13,100648-1-4-0.wav,100648,1,car_horn,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00014_dog_bark.wav,14,100652-3-0-0.wav,100652,3,dog_bark,2
/scratch/pdoshi/audio_comp/urbansound8k_audio/00015_dog_bark.wav,15,100652-3-0-1.wav,100652,3,dog_bark,2
/scratch/pdoshi/audio_comp/urbansound8k_audio/00016_dog_bark.wav,16,100652-3-0-2.wav,100652,3,dog_bark,2
/scratch/pdoshi/audio_comp/urbansound8k_audio/00017_dog_bark.wav,17,100652-3-0-3.wav,100652,3,dog_bark,2
/scratch/pdoshi/audio_comp/urbansound8k_audio/00018_dog_bark.wav,18,100795-3-0-0.wav,100795,3,dog_bark,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00019_dog_bark.wav,19,100795-3-1-0.wav,100795,3,dog_bark,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00020_dog_bark.wav,20,100795-3-1-1.wav,100795,3,dog_bark,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00021_dog_bark.wav,21,100795-3-1-2.wav,100795,3,dog_bark,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00022_air_conditioner.wav,22,100852-0-0-0.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00023_air_conditioner.wav,23,100852-0-0-1.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00024_air_conditioner.wav,24,100852-0-0-10.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00025_air_conditioner.wav,25,100852-0-0-11.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00026_air_conditioner.wav,26,100852-0-0-12.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00027_air_conditioner.wav,27,100852-0-0-13.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00028_air_conditioner.wav,28,100852-0-0-14.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00029_air_conditioner.wav,29,100852-0-0-15.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00030_air_conditioner.wav,30,100852-0-0-16.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00031_air_conditioner.wav,31,100852-0-0-17.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00032_air_conditioner.wav,32,100852-0-0-18.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00033_air_conditioner.wav,33,100852-0-0-19.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00034_air_conditioner.wav,34,100852-0-0-2.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00035_air_conditioner.wav,35,100852-0-0-20.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00036_air_conditioner.wav,36,100852-0-0-21.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00037_air_conditioner.wav,37,100852-0-0-22.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00038_air_conditioner.wav,38,100852-0-0-23.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00039_air_conditioner.wav,39,100852-0-0-24.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00040_air_conditioner.wav,40,100852-0-0-25.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00041_air_conditioner.wav,41,100852-0-0-26.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00042_air_conditioner.wav,42,100852-0-0-27.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00043_air_conditioner.wav,43,100852-0-0-28.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00044_air_conditioner.wav,44,100852-0-0-29.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00045_air_conditioner.wav,45,100852-0-0-3.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00046_air_conditioner.wav,46,100852-0-0-30.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00047_air_conditioner.wav,47,100852-0-0-4.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00048_air_conditioner.wav,48,100852-0-0-5.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00049_air_conditioner.wav,49,100852-0-0-6.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00050_air_conditioner.wav,50,100852-0-0-7.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00051_air_conditioner.wav,51,100852-0-0-8.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00052_air_conditioner.wav,52,100852-0-0-9.wav,100852,0,air_conditioner,5
/scratch/pdoshi/audio_comp/urbansound8k_audio/00053_dog_bark.wav,53,101281-3-0-0.wav,101281,3,dog_bark,6
/scratch/pdoshi/audio_comp/urbansound8k_audio/00054_dog_bark.wav,54,101281-3-0-14.wav,101281,3,dog_bark,6
/scratch/pdoshi/audio_comp/urbansound8k_audio/00055_dog_bark.wav,55,101281-3-0-5.wav,101281,3,dog_bark,6
/scratch/pdoshi/audio_comp/urbansound8k_audio/00056_children_playing.wav,56,101382-2-0-10.wav,101382,2,children_playing,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00057_children_playing.wav,57,101382-2-0-12.wav,101382,2,children_playing,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00058_children_playing.wav,58,101382-2-0-20.wav,101382,2,children_playing,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00059_children_playing.wav,59,101382-2-0-21.wav,101382,2,children_playing,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00060_children_playing.wav,60,101382-2-0-29.wav,101382,2,children_playing,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00061_children_playing.wav,61,101382-2-0-33.wav,101382,2,children_playing,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00062_children_playing.wav,62,101382-2-0-42.wav,101382,2,children_playing,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00063_children_playing.wav,63,101382-2-0-45.wav,101382,2,children_playing,10
/scratch/pdoshi/audio_comp/urbansound8k_audio/00064_dog_bark.wav,64,101415-3-0-2.wav,101415,3,dog_bark,1
/scratch/pdoshi/audio_comp/urbansound8k_audio/00065_dog_bark.wav,65,101415-3-0-3.wav,101415,3,dog_bark,1
/scratch/pdoshi/audio_comp/urbansound8k_audio/00066_dog_bark.wav,66,101415-3-0-8.wav,101415,3,dog_bark,1
/scratch/pdoshi/audio_comp/urbansound8k_audio/00067_air_conditioner.wav,67,101729-0-0-1.wav,101729,0,air_conditioner,9
/scratch/pdoshi/audio_comp/urbansound8k_audio/00068_air_conditioner.wav,68,101729-0-0-11.wav,101729,0,air_conditioner,9
