file,machine,unit,condition,label,fold
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000000.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000001.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000002.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000003.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000004.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000005.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000006.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000007.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000008.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000009.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000010.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000011.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000012.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000013.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000014.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000015.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000016.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000017.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000018.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000019.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000020.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000021.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000022.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000023.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000024.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000025.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000026.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000027.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000028.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000029.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000030.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000031.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000032.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000033.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000034.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000035.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000036.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000037.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000038.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000039.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000040.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000041.wav,valve,valve_id_00,normal,0,12
/scratch/pdoshi/audio_comp/mimii_raw/valve/id_00/normal/00000042.wav,valve,valve_id_00,normal,0,12
