clip_id,path,category
0_orig,original/0000.wav,bird_sounds
0_aug,augmented/0000.wav,bird_sounds
1_orig,original/0001.wav,bird_sounds
1_aug,augmented/0001.wav,bird_sounds
2_orig,original/0002.wav,bird_sounds
2_aug,augmented/0002.wav,bird_sounds
3_orig,original/0003.wav,bird_sounds
3_aug,augmented/0003.wav,bird_sounds
4_orig,original/0004.wav,bird_sounds
4_aug,augmented/0004.wav,bird_sounds
5_orig,original/0005.wav,bird_sounds
5_aug,augmented/0005.wav,bird_sounds
6_orig,original/0006.wav,bird_sounds
6_aug,augmented/0006.wav,bird_sounds
7_orig,original/0007.wav,bird_sounds
7_aug,augmented/0007.wav,bird_sounds
8_orig,original/0008.wav,bird_sounds
8_aug,augmented/0008.wav,bird_sounds
9_orig,original/0009.wav,bird_sounds
9_aug,augmented/0009.wav,bird_sounds
10_orig,original/0010.wav,bird_sounds
10_aug,augmented/0010.wav,bird_sounds
11_orig,original/0011.wav,bird_sounds
11_aug,augmented/0011.wav,bird_sounds
12_orig,original/0012.wav,bird_sounds
12_aug,augmented/0012.wav,bird_sounds
13_orig,original/0013.wav,bird_sounds
13_aug,augmented/0013.wav,bird_sounds
14_orig,original/0014.wav,bird_sounds
14_aug,augmented/0014.wav,bird_sounds
15_orig,original/0015.wav,bird_sounds
15_aug,augmented/0015.wav,bird_sounds
16_orig,original/0016.wav,bird_sounds
16_aug,augmented/0016.wav,bird_sounds
17_orig,original/0017.wav,bird_sounds
17_aug,augmented/0017.wav,bird_sounds
18_orig,original/0018.wav,bird_sounds
18_aug,augmented/0018.wav,bird_sounds
19_orig,original/0019.wav,bird_sounds
19_aug,augmented/0019.wav,bird_sounds
20_orig,original/0020.wav,bird_sounds
20_aug,augmented/0020.wav,bird_sounds
21_orig,original/0021.wav,bird_sounds
21_aug,augmented/0021.wav,bird_sounds
22_orig,original/0022.wav,bird_sounds
22_aug,augmented/0022.wav,bird_sounds
23_orig,original/0023.wav,bird_sounds
23_aug,augmented/0023.wav,bird_sounds
24_orig,original/0024.wav,bird_sounds
24_aug,augmented/0024.wav,bird_sounds
25_orig,original/0025.wav,bird_sounds
25_aug,augmented/0025.wav,bird_sounds
26_orig,original/0026.wav,bird_sounds
26_aug,augmented/0026.wav,bird_sounds
27_orig,original/0027.wav,bird_sounds
27_aug,augmented/0027.wav,bird_sounds
28_orig,original/0028.wav,bird_sounds
28_aug,augmented/0028.wav,bird_sounds
29_orig,original/0029.wav,bird_sounds
29_aug,augmented/0029.wav,bird_sounds
30_orig,original/0030.wav,bird_sounds
30_aug,augmented/0030.wav,bird_sounds
31_orig,original/0031.wav,bird_sounds
31_aug,augmented/0031.wav,bird_sounds
32_orig,original/0032.wav,bird_sounds
32_aug,augmented/0032.wav,bird_sounds
33_orig,original/0033.wav,bird_sounds
33_aug,augmented/0033.wav,bird_sounds
34_orig,original/0034.wav,bird_sounds
34_aug,augmented/0034.wav,bird_sounds
35_orig,original/0035.wav,bird_sounds
35_aug,augmented/0035.wav,bird_sounds
36_orig,original/0036.wav,bird_sounds
36_aug,augmented/0036.wav,bird_sounds
37_orig,original/0037.wav,bird_sounds
37_aug,augmented/0037.wav,bird_sounds
38_orig,original/0038.wav,bird_sounds
38_aug,augmented/0038.wav,bird_sounds
39_orig,original/0039.wav,bird_sounds
39_aug,augmented/0039.wav,bird_sounds
40_orig,original/0040.wav,bird_sounds
40_aug,augmented/0040.wav,bird_sounds
41_orig,original/0041.wav,bird_sounds
41_aug,augmented/0041.wav,bird_sounds
42_orig,original/0042.wav,bird_sounds
42_aug,augmented/0042.wav,bird_sounds
43_orig,original/0043.wav,bird_sounds
43_aug,augmented/0043.wav,bird_sounds
44_orig,original/0044.wav,bird_sounds
44_aug,augmented/0044.wav,bird_sounds
45_orig,original/0045.wav,bird_sounds
45_aug,augmented/0045.wav,bird_sounds
46_orig,original/0046.wav,bird_sounds
46_aug,augmented/0046.wav,bird_sounds
47_orig,original/0047.wav,bird_sounds
47_aug,augmented/0047.wav,bird_sounds
48_orig,original/0048.wav,bird_sounds
48_aug,augmented/0048.wav,bird_sounds
49_orig,original/0049.wav,bird_sounds
49_aug,augmented/0049.wav,bird_sounds
50_orig,original/0050.wav,bird_sounds
50_aug,augmented/0050.wav,bird_sounds
51_orig,original/0051.wav,bird_sounds
51_aug,augmented/0051.wav,bird_sounds
52_orig,original/0052.wav,bird_sounds
